Name,Symbol,Price (USD)
Bitcoin,BTC,"$46,358.26"
Ethereum,ETH,"$1,440.85"
Cardano,ADA,$1.28
Tether,USDT,$1.00
Binance Coin,BNB,$222.63
Polkadot,DOT,$33.88
XRP,XRP,$0.4239
Litecoin,LTC,$165.95
Chainlink,LINK,$25.30
Stellar,XLM,$0.4066
USD Coin,USDC,$1.00
Bitcoin Cash,BCH,$467.99
Uniswap,UNI,$22.81
Dogecoin,DOGE,$0.04840
Wrapped Bitcoin,WBTC,"$46,098.49"
NEM,XEM,$0.5977
Aave,AAVE,$372.19
Monero,XMR,$213.30
Cosmos,ATOM,$17.96
Solana,SOL,$14.45
Crypto.com Coin,CRO,$0.1387
Bitcoin SV,BSV,$178.21
EOS,EOS,$3.50
TRON,TRX,$0.04572
IOTA,MIOTA,$1.17
THETA,THETA,$3.17
Tezos,XTZ,$3.47
VeChain,VET,$0.04039
Neo,NEO,$36.24
Huobi Token,HT,$13.59
FTX Token,FTT,$26.66
Dai,DAI,$1.00
Binance USD,BUSD,$1.00
Terra,LUNA,$5.84
Elrond,EGLD,$133.44
Synthetix,SNX,$19.07
Maker,MKR,"$2,126.73"
Algorand,ALGO,$1.02
The Graph,GRT,$1.66
SushiSwap,SUSHI,$16.26
Filecoin,FIL,$36.34
Dash,DASH,$201.89
UNUS SED LEO,LEO,$1.98
Compound,COMP,$422.20
Avalanche,AVAX,$24.70
Kusama,KSM,$214.41
Decred,DCR,$137.28
Fantom,FTM,$0.5819
Voyager Token,VGX,$6.59
PancakeSwap,CAKE,$10.81
Ravencoin,RVN,$0.1608
Zcash,ZEC,$110.45
Ethereum Classic,ETC,$10.39
NEAR Protocol,NEAR,$3.98
Zilliqa,ZIL,$0.1089
yearn.finance,YFI,"$32,244.69"
Polygon,MATIC,$0.2360
BitTorrent,BTT,$0.001171
UMA,UMA,$20.24
Nexo,NEXO,$2.02
Celsius,CEL,$4.69
THORChain,RUNE,$4.53
Revain,REV,$0.01234
Ren,REN,$1.06
OKB,OKB,$16.02
Waves,WAVES,$9.13
0x,ZRX,$1.25
ICON,ICX,$1.56
Hedera Hashgraph,HBAR,$0.1179
SwissBorg,CHSB,$0.8682
Basic Attention Token,BAT,$0.5411
renBTC,RENBTC,"$46,028.19"
HUSD,HUSD,$1.00
DigiByte,DGB,$0.05200
Bitcoin BEP2,BTCB,"$46,109.76"
Celo,CELO,$3.81
Stacks,STX,$0.9496
TerraUSD,UST,$1.00
Ontology,ONT,$0.8598
Bancor,BNT,$4.90
Paxos Standard,PAX,$0.9999
Nano,NANO,$5.04
Loopring,LRC,$0.5280
IOST,IOST,$0.03698
OMG Network,OMG,$4.29
1inch,1INCH,$3.86
Flow,FLOW,$21.56
Theta Fuel,TFUEL,$0.09595
Reserve Rights,RSR,$0.05364
ZKSwap,ZKS,$2.46
Qtum,QTUM,$4.94
Enjin Coin,ENJ,$0.5757
Holo,HOT,$0.002708
Siacoin,SC,$0.009695
Horizen,ZEN,$42.03
Pundi X,NPXS,$0.001848
Bitcoin Gold,BTG,$24.80
Venus,XVS,$49.31
Curve DAO Token,CRV,$1.80
Quant,QNT,$33.88
Decentraland,MANA,$0.2448
Energy Web Token,EWT,$12.61
DODO,DODO,$3.83
Ocean Protocol,OCEAN,$0.8676
Lisk,LSK,$2.82
Augur,REP,$31.85
KuCoin Token,KCS,$4.30
Kyber Network,KNC,$1.60
Golem,GLM,$0.3243
TrueUSD,TUSD,$1.00
Helium,HNT,$4.25
Arweave,AR,$9.11
Chiliz,CHZ,$0.05313
Verge,XVG,$0.01753
Status,SNT,$0.07962
TrustSwap,SWAP,$3.63
NuCypher,NU,$0.6729
Serum,SRM,$5.28
Nervos Network,CKB,$0.01086
Ampleforth,AMPL,$0.8002
Band Protocol,BAND,$12.12
Harmony,ONE,$0.02641
Balancer,BAL,$35.41
Civic,CVC,$0.3510
Polkastarter,POLS,$3.79
Alpha Finance Lab,ALPHA,$1.29
IoTeX,IOTX,$0.02120
Numeraire,NMR,$42.50
Secret,SCRT,$2.92
Injective Protocol,INJ,$12.97
Polymath,POLY,$0.3392
Kava.io,KAVA,$3.44
Fetch.ai,FET,$0.2647
Bitcoin Standard Hashrate Token,BTCST,$322.31
Gnosis,GNO,$122.90
ZB Token,ZB,$0.3932
Swipe,SXP,$2.11
FunFair,FUN,$0.02714
MaidSafeCoin,MAID,$0.3905
Bitcoin Diamond,BCD,$0.9405
Ankr,ANKR,$0.02680
Ardor,ARDR,$0.1748
SingularityNET,AGI,$0.1996
Orchid,OXT,$0.4627
Ark,ARK,$1.34
RSK Infrastructure Framework,RIF,$0.2388
Vai,VAI,$0.9956
ABBC Coin,ABBC,$0.1971
Storj,STORJ,$0.6320
Unibright,UBT,$1.04
Telcoin,TEL,$0.003049
Steem,STEEM,$0.4090
Aragon,ANT,$3.88
Komodo,KMD,$1.23
Utrust,UTK,$0.3317
Dent,DENT,$0.001637
OriginTrail,TRAC,$0.4195
Oasis Network,ROSE,$0.09850
Kin,KIN,$0.00009497
Stratis,STRAX,$1.11
district0x,DNT,$0.2366
VeThor Token,VTHO,$0.004320
saffron.finance,SFI,"$1,804.79"
TomoChain,TOMO,$1.75
Unifi Protocol DAO,UNFI,$41.07
COTI,COTI,$0.2049
ReddCoin,RDD,$0.004461
Wanchain,WAN,$0.7728
Litentry,LIT,$7.12
BitShares,BTS,$0.04357
Hifi Finance,MFT,$0.01272
aelf,ELF,$0.2342
CyberVein,CVT,$0.1183
PAX Gold,PAXG,"$1,766.25"
Celer Network,CELR,$0.02327
Syntropy,NOIA,$0.3755
Gemini Dollar,GUSD,$1.00
Hive,HIVE,$0.3009
BORA,BORA,$0.1385
Travala.com,AVA,$2.55
MonaCoin,MONA,$1.76
Gas,GAS,$11.05
WAX,WAXP,$0.07283
Bytom,BTM,$0.07728
Loom Network,LOOM,$0.1112
Handshake,HNS,$0.2987
iExec RLC,RLC,$1.34
xDai,STAKE,$25.19
JUST,JST,$0.04487
Populous,PPT,$1.88
Wootrade,WOO,$0.2658
GateToken,GT,$1.25
Ergo,ERG,$3.31
Syscoin,SYS,$0.1604
IRISnet,IRIS,$0.1023
Metal,MTL,$1.49
Phala Network,PHA,$0.6618
LTO Network,LTO,$0.3506
Badger DAO,BADGER,$41.46
Huobi Pool Token,HPT,$0.01704
